Scope	Category	Source	Domain	Date
Global	Conflicts and Attacks	http://www.haaretz.com/hasen/spages/1139336.html; http://english.aljazeera.net/news/middleeast/2010/01/2010121275652585.html	www.haaretz.com; www.english.aljazeera.net	2010-01-02
Global	Art and Culture	http://news.bbc.co.uk/2/hi/europe/8437460.stm; http://edition.cnn.com/2010/WORLD/europe/01/02/ireland.blasphemy.law/; http://www.irishtimes.com/newspaper/breaking/2010/0102/breaking22.htm	www.news.bbc.co.uk; www.edition.cnn.com; www.irishtimes.com	2010-01-02
Global	Science and Technology	http://news.discovery.com/archaeology/largest-saqqara-tomb-discovered.html; http://www.google.com/hostednews/afp/article/ALeqM5jF-fhEcgYuOpUvswTZMQbDoLojvQ; http://news.xinhuanet.com/english/2010-01/04/content_12754389.htm	www.news.discovery.com; www.google.com; www.news.xinhuanet.com	2010-01-04
Global	Environment	http://www.china.org.cn/environment/2010-01/04/content_19174047.htm; http://uk.reuters.com/article/idUKTOE6030A020100104	www.china.org.cn; www.uk.reuters.com	2010-01-04
Global	International Relations	http://www.rte.ie/news/2010/0105/dorset.html; http://www.belfasttelegraph.co.uk/news/local-national/irish-government-furious-after-slovakian-agents-plant-explosives-on-passenger-14623606.html; http://news.bbc.co.uk/2/hi/europe/8441891.stm	www.rte.ie; www.belfasttelegraph.co.uk; www.news.bbc.co.uk	2010-01-05
Global	International Relations	http://www.cnn.com/2010/WORLD/asiapcf/01/07/india.australia.students/index.html; http://www.indianexpress.com/news/india-issues-advisory-to-its-students-in.../563720	www.cnn.com; www.indianexpress.com	2010-01-07
Global	Health	http://news.bbc.co.uk/1/hi/world/africa/8448925.stm; http://af.reuters.com/article/topNews/idAFJOE6070G920100108	www.news.bbc.co.uk; www.af.reuters.com	2010-01-08
Global	Politics	https://web.archive.org/web/20100112035001/http://www.timeslive.co.za/news/article254122.ece; https://www.reuters.com/article/idUSTRE60816V20100109; http://news.bbc.co.uk/1/hi/world/africa/8450151.stm	www.web.archive.org; www.reuters.com; www.news.bbc.co.uk	2010-01-09
Global	Sport	https://www.telegraph.co.uk/sport/football/international/6958082/Togo-attack-Cabinda-to-remain-African-Cup-of-Nations-venue.html	www.telegraph.co.uk	2010-01-09
Global	Health	http://www.thesun.co.uk/sol/homepage/news/2803049/Swine-flu-false-pandemic-claim.html	www.thesun.co.uk	2010-01-11
Global	Politics	https://web.archive.org/web/20120427054446/http://enews.mcot.net/view.php?id=13652; https://www.reuters.com/article/idUSTRE60A13F20100111; http://english.aljazeera.net/news/asia-pacific/2010/01/201011194949662661.html	www.web.archive.org; www.reuters.com; www.english.aljazeera.net	2010-01-11
Global	Science and Technology	http://news.bbc.co.uk/2/hi/middle_east/8451538.stm	www.news.bbc.co.uk	2010-01-11
Global	Environment	http://news.bbc.co.uk/1/hi/world/asia-pacific/8453744.stm; http://news.xinhuanet.com/english/2010-01/12/content_12795966.htm; http://ibnlive.in.com/news/melbourne-experienced-hottest-night-since-1902/108590-2.html	www.news.bbc.co.uk; www.news.xinhuanet.com; www.ibnlive.in.com	2010-01-12
Global	Law and Crime	http://english.aljazeera.net/news/europe/2010/04/20104673854889952.html; http://news.bbc.co.uk/2/hi/europe/8604760.stm; https://www.reuters.com/article/idUSTRE63537V20100406?feedType=RSS&feedName=worldNews	www.english.aljazeera.net; www.news.bbc.co.uk; www.reuters.com	2010-04-06
Global	Conflicts and Attacks	http://www.theaustralian.com.au/news/world/al-qaidas-top-leader-in-afghanistan-mustafa-abu-al-yazid-dies/story-e6frg6so-1225873950759; http://edition.cnn.com/2010/WORLD/asiapcf/05/31/afghanistan.qaeda.death/?hpt=Sbin	www.theaustralian.com.au; www.edition.cnn.com	2010-06-01
Global	Disaster and Accidents	http://news.bbc.co.uk/2/hi/10206841.stm; http://www.chinadaily.com.cn/world/2010-06/01/content_9919593.htm; http://english.aljazeera.net/news/europe/2010/06/20106115644389229.html	www.news.bbc.co.uk; www.chinadaily.com.cn; www.english.aljazeera.net	2010-06-01
Global	Disaster and Accidents	http://www.theaustralian.com.au/news/world/oil-likely-to-keep-spilling-until-august-says-white-house/story-e6frg6so-1225873753073	www.theaustralian.com.au	2010-06-01
Global	Law and Crime	http://news.bbc.co.uk/2/hi/world/africa/10202429.stm; http://www.upi.com/Top_News/International/2010/06/01/HIV-women-sue-over-forced-sterilization/UPI-76661275392988/	www.news.bbc.co.uk; www.upi.com	2010-06-01
Global	International Relations	http://english.yonhapnews.co.kr/national/2010/07/01/76/0302000000AEN20100701005200315F.HTML; http://news.bbc.co.uk/1/hi/world/asia_pacific/10471853.stm	www.english.yonhapnews.co.kr; www.news.bbc.co.uk	2010-07-01
Global	Law and Crime	http://news.bbc.co.uk/2/hi/world/asia_pacific/10480116.stm; http://www.businessweek.com/news/2010-07-01/hong-kong-s-anti-government-protest-draws-thousands.html	www.news.bbc.co.uk; www.businessweek.com	2010-07-01
Global	Politics	http://news.bbc.co.uk/2/hi/europe/10474511.stm; http://edition.cnn.com/2010/WORLD/europe/07/01/finland.new.reactors/index.html?iref=allsearch&fbid=XiPj-PMGuif; http://www.yle.fi/uutiset/news/2010/07/parliament_votes_in_favour_of_new_nuclear_reactors_1799285.html	www.news.bbc.co.uk; www.edition.cnn.com; www.yle.fi	2010-07-01
